epoch,train_loss,val_loss,learning_rate
1,8.706153365216183,6.216253164540295,0.0001
2,4.449473103048562,3.8441916616883085,9.999725846827562e-05
3,3.7742147893323437,3.709891613543785,9.998903417374228e-05
4,3.5378491540938994,3.3694288034541544,9.997532801828658e-05
5,3.2301820383828876,3.201086987461184,9.995614150494293e-05
6,3.147917851606127,3.1508734960983666,9.99314767377287e-05
7,3.106008001887891,3.159362521000589,9.990133642141359e-05
8,3.095564163671876,3.10681341591218,9.986572386122291e-05
9,3.0130530926056798,3.032012886628262,9.982464296247522e-05
10,3.0012724886850353,3.224807355858207,9.9778098230154e-05
11,3.006679967704273,3.1947270065900617,9.972609476841367e-05
12,2.9621708470963095,2.988902623795,9.966863828001983e-05
13,2.9604725638490943,3.0044256926189385,9.960573506572391e-05
14,2.923661045502425,2.96711197094882,9.95373920235722e-05
15,2.9031079473120798,2.923031375318318,9.946361664814943e-05
16,2.8752750751574125,2.9423538964312277,9.93844170297569e-05
17,2.871094636181153,2.943312814944773,9.929980185352526e-05
18,2.8611573503507683,2.932643383131455,9.920978039846208e-05
19,2.837970665252832,2.9160237575800143,9.911436253643444e-05
20,2.8015103201457183,2.8256286647139497,9.901355873108609e-05
21,2.7110451847087935,2.6499072658430527,9.890738003669028e-05
22,2.439834502675908,2.358777629540876,9.879583809693736e-05
23,2.2226240137568944,2.0851787360738756,9.8678945143658e-05
24,1.9745636111904752,2.1807865038655367,9.85567139954818e-05
25,1.8681632081266055,1.742113291901457,9.842915805643154e-05
26,1.7731922678313903,1.9037948590762308,9.829629131445339e-05
27,1.692777782558072,1.761013406629387,9.815812833988289e-05
28,1.6663802800679275,1.6359026548263988,9.801468428384713e-05
29,1.5593001621508982,1.481949774208108,9.786597487660334e-05
30,1.5083046399249163,1.7432365898551523,9.771201642581382e-05
31,1.4770855258500657,1.4990578275544177,9.755282581475767e-05
32,1.454179467766092,1.7917671317462516,9.738842050047928e-05
33,1.405367332735212,1.3820515361633359,9.721881851187405e-05
34,1.3468745204207968,1.316671694765027,9.704403844771126e-05
35,1.3342011029234102,1.421653494465328,9.686409947459455e-05
36,1.315870328607154,1.3142446982913807,9.667902132486005e-05
37,1.2822437931540873,1.3488087356828231,9.648882429441254e-05
38,1.2761347420915419,1.315022723849486,9.629352924049973e-05
39,1.229109993512133,1.2276853456717185,9.609315757942502e-05
40,1.2083584270188878,1.234171791683227,9.588773128419905e-05
41,1.2208175422445902,1.2444990374522156,9.567727288213003e-05
42,1.1531199979805016,1.1441784614564092,9.546180545235343e-05
43,1.156371032979531,1.2396132196378877,9.524135262330098e-05
44,1.1734667768828637,1.2732523639521103,9.501593857010968e-05
45,1.1444669353481445,1.2237192847845804,9.478558801197064e-05
46,1.1383601752921202,1.237334763391858,9.455032620941839e-05
47,1.0983092479159615,1.095311885578599,9.431017896156072e-05
48,1.1274366091183896,1.1175420136536707,9.406517260324959e-05
49,1.0880882573624884,1.1795761537414124,9.381533400219317e-05
50,1.1050846915977948,1.0926604214476907,9.356069055600948e-05
51,1.0494957054305618,1.0974902464122613,9.330127018922193e-05
52,1.0178797061240907,1.103009744140842,9.303710135019718e-05
53,1.0512001541564369,0.9596616052362139,9.276821300802532e-05
54,1.0251612095065483,1.0286967460338288,9.24946346493432e-05
55,1.005830690379169,0.9815400157885648,9.221639627510076e-05
56,1.0156883478049468,1.0353776059007336,9.193352839727121e-05
57,0.9873042309678749,0.9613931398300466,9.164606203550498e-05
58,0.9829164295538564,0.9901840815606668,9.13540287137281e-05
59,0.975987736924568,0.967492346516975,9.105746045668521e-05
60,0.9508434994118771,0.9829038922749699,9.075638978642771e-05
61,0.9563576646753249,1.0168042782764664,9.045084971874738e-05
62,0.9545272260717806,0.9290324641474167,9.014087375955573e-05
63,0.9483977400453142,1.0298822641568985,8.982649590120982e-05
64,0.9255436735722948,0.9390357713526796,8.950775061878452e-05
65,0.9505004085767919,1.070911243400563,8.918467286629199e-05
66,0.9573540844390103,0.8862822289839976,8.885729807284854e-05
67,0.9300366201703822,0.8950512458360252,8.852566213878946e-05
68,0.8985628979877167,0.927022568423322,8.818980143173211e-05
69,0.8935699001404571,0.8626019759406043,8.784975278258782e-05
70,0.9050969622094648,0.943601818398876,8.750555348152298e-05
71,0.9024539908323003,1.0140582286252704,8.715724127386972e-05
72,0.8916094231284546,0.9001389862612396,8.680485435598672e-05
73,0.8668803950345639,0.9862198685921089,8.644843137107059e-05
74,0.8737273497584312,0.863829823648282,8.608801140491811e-05
75,0.8824609527846978,0.9070570994770868,8.572363398164017e-05
76,0.8972948160509333,0.8946487549622775,8.535533905932738e-05
77,0.8891922395743264,0.9245299117918757,8.498316702566829e-05
78,0.8694116341069961,0.8741877828849207,8.460715869352035e-05
79,0.8699299633577263,0.8729756052513364,8.422735529643445e-05
80,0.8517302955429734,0.886213346975594,8.384379848413305e-05
81,0.834734785057077,0.9417571992800436,8.345653031794293e-05
82,0.871379814169198,0.9369188119192781,8.306559326618262e-05
83,0.8353842306155445,0.900156349287075,8.267103019950531e-05
84,0.8419879981494677,0.8612881585903844,8.227288438619756e-05
85,0.8558286867054159,0.9013164931781377,8.187119948743452e-05
86,0.8196791310349477,0.8889625198772958,8.14660195524919e-05
87,0.8411573973355732,0.8796471752476682,8.105738901391556e-05
88,0.8267933557531606,0.8236170212829076,8.064535268264886e-05
89,0.8185476584304764,0.816367702195412,8.022995574311878e-05
90,0.8196124601269064,0.8535015404783098,7.981124374828082e-05
91,0.8036516402646319,0.8192826956289524,7.938926261462369e-05
92,0.8019973860051265,0.8800103112040022,7.896405861713397e-05
93,0.8141856880588658,0.9538658966265662,7.853567838422163e-05
94,0.8105663877524234,0.8244522564934746,7.810416889260657e-05
95,0.79492605788376,0.8397492433857282,7.766957746216724e-05
96,0.8098474590859936,0.828028049828295,7.723195175075139e-05
97,0.7986461313384536,0.7935556925458626,7.679133974894987e-05
98,0.7833962278260221,0.9049144623874499,7.634778977483393e-05
99,0.7781112504160234,0.8706966728089043,7.590135046865655e-05
100,0.7857190641711281,0.8134598635857471,7.545207078751861e-05
101,0.7853666941681443,0.8396944386807077,7.500000000000003e-05
102,0.768762676608364,0.9399658068764635,7.454518768075708e-05
103,0.7817855116650141,0.8070498239012297,7.40876837050858e-05
104,0.7855879266711208,0.8040804955229067,7.362753824345274e-05
105,0.7543289336266233,0.8360897416846667,7.316480175599313e-05
