epoch,G_loss,D_loss
0,0.7918612957000732,0.7245877385139465
1,1.4220800399780273,0.5522903203964233
2,0.9311013221740723,0.5594654083251953
3,0.9396231770515442,0.8471393585205078
4,0.9540697336196899,0.721819281578064
5,1.1495307683944702,0.6391304135322571
6,0.8984812498092651,0.6024768352508545
7,0.8391388654708862,0.5341470241546631
8,1.065523386001587,0.4708860516548157
9,0.8996656537055969,0.6697012782096863
10,1.1639268398284912,0.4939103424549103
11,1.0555522441864014,0.5765856504440308
12,0.701413631439209,0.5494973659515381
13,0.7837321162223816,0.675883412361145
14,1.1304748058319092,0.6267920136451721
15,0.9182019829750061,0.796012282371521
16,0.9398793578147888,0.5898618698120117
17,0.6993933916091919,0.5988041758537292
18,0.8659181594848633,0.49914929270744324
19,0.9276763200759888,0.7046756148338318
20,0.8284105062484741,0.5712634325027466
21,0.7948367595672607,0.7854271531105042
22,1.019389271736145,0.5737600326538086
23,0.48163214325904846,0.7095628976821899
24,0.8912599086761475,0.6320539712905884
25,0.636093020439148,0.7211430072784424
26,1.0678648948669434,0.6953175663948059
27,1.019482970237732,0.5722677707672119
28,0.6573522090911865,0.6223646402359009
29,0.9702936410903931,0.6451205611228943
