epoch,train_loss,val_loss,learning_rate
0,0.8388666902916341,0.5508941378020034,0.0001
1,0.3573150099078311,0.19574917305873918,9.999383162408304e-05
2,0.1860629735113699,0.14346783843976033,9.997532801828658e-05
3,0.15602798335537127,0.12740884692985802,9.994449374809851e-05
4,0.13880213387782062,0.11361736257242251,9.990133642141359e-05
5,0.12651633839064005,0.10603642935239815,9.98458666866564e-05
6,0.11677342530670046,0.09485639221494711,9.9778098230154e-05
7,0.11006237434435494,0.0903710789884193,9.9698047772759e-05
8,0.10848826217123225,0.0876456834847414,9.96057350657239e-05
9,0.10125961541375027,0.0846817604490096,9.950118288582787e-05
10,0.10019808300311052,0.08273521728247782,9.938441702975689e-05
11,0.09815798614975772,0.08220010276742373,9.925546630773869e-05
12,0.09513848241937312,0.07943586080889159,9.911436253643444e-05
13,0.09384862408985066,0.0786091467200578,9.896114053108829e-05
14,0.09191651331095756,0.07843543975790844,9.879583809693738e-05
15,0.0926195849912076,0.07879506905056254,9.861849601988384e-05
16,0.08910782616349715,0.07772158029713208,9.842915805643157e-05
17,0.08845396967062467,0.07561259775693659,9.822787092288992e-05
18,0.08639319424953641,0.07464171736206435,9.801468428384718e-05
19,0.0855687527528292,0.07439554044151608,9.778965073991652e-05
20,0.08444845002097419,0.07405932773423346,9.75528258147577e-05
21,0.08337982121524931,0.07300341412236419,9.730426794137729e-05
22,0.083214266956607,0.07306345882295054,9.70440384477113e-05
23,0.08175015520257285,0.07504431919866725,9.67722015414934e-05
24,0.08383669954123377,0.07248862047644355,9.64888242944126e-05
25,0.07987800249947777,0.07231507028299797,9.619397662556436e-05
26,0.08026827093732508,0.07203565773707402,9.588773128419907e-05
27,0.07984490560579903,0.07187322923276998,9.557016383177228e-05
28,0.07954753482643562,0.07159816900480397,9.524135262330099e-05
29,0.0777328619379786,0.07117676506219786,9.49013787880308e-05
30,0.07850490788681598,0.07119059522600868,9.455032620941841e-05
31,0.07740949848784676,0.07052717058436025,9.418828150443471e-05
32,0.07746960656552375,0.07004984991648529,9.381533400219321e-05
33,0.07717396512250357,0.07140263122848317,9.343157572190959e-05
34,0.07659115279211273,0.07100489558769932,9.303710135019721e-05
35,0.07724978930399387,0.06932194703081741,9.263200821770464e-05
36,0.07558635009240501,0.07009111413189882,9.221639627510079e-05
37,0.07485403219544434,0.07004073764421517,9.179036806841354e-05
38,0.07397879334756091,0.07070897389910644,9.135402871372811e-05
39,0.07550826805490482,0.06888141558517384,9.09074858712512e-05
40,0.07424956621437133,0.06893751138373266,9.04508497187474e-05
41,0.0747029591304592,0.06977767846252345,8.998423292435457e-05
42,0.07469233563995059,0.06869993589912789,8.950775061878454e-05
43,0.0732145238714882,0.06927133085135417,8.902152036691651e-05
44,0.0725305079470707,0.06900595548220828,8.852566213878949e-05
45,0.07322933161749115,0.06983717618203616,8.802029828000158e-05
46,0.07248878962348533,0.0701020083189765,8.750555348152301e-05
47,0.07127593410543248,0.0687453871522146,8.698155474893051e-05
48,0.07290031779793245,0.06939762047951735,8.64484313710706e-05
49,0.07191440260297136,0.07045602902204176,8.590631488815948e-05
50,0.07068439846551872,0.07018387032366252,8.53553390593274e-05
51,0.06986380443920064,0.06862836081204535,8.479563982961574e-05
52,0.07109958291808262,0.06895102383686771,8.422735529643446e-05
53,0.07050160521382018,0.06882367660350437,8.365062567548869e-05
54,0.07088613222482838,0.06834195254818548,8.306559326618262e-05
55,0.06965887164579163,0.0690992719529173,8.24724024165092e-05
56,0.0685938174683082,0.06867926937964143,8.187119948743451e-05
57,0.06897748313561271,0.06830996916263918,8.126213281678528e-05
58,0.06909193372047401,0.06908764058276068,8.064535268264884e-05
59,0.06927260134039046,0.06805801342088211,8.002101126629422e-05
60,0.0687434893525854,0.0690787831392092,7.938926261462369e-05
61,0.0685800246517115,0.06789820459730263,7.875026260216395e-05
62,0.06758549248304548,0.06917497225671629,7.810416889260656e-05
63,0.06857009340502039,0.06835987058149863,7.745114089990661e-05
64,0.06989792772108995,0.068670527443667,7.679133974894984e-05
65,0.06847807519798037,0.06796810434117348,7.612492823579746e-05
66,0.06822442051164712,0.06789201292904871,7.545207078751858e-05
67,0.06668041639407224,0.06953152740680718,7.47729334216204e-05
68,0.06792629396990885,0.06781067508213882,7.408768370508578e-05
69,0.06700987357033204,0.06814478309471396,7.33964907130287e-05
70,0.06555767380927183,0.06796577570464792,7.269952498697737e-05
71,0.06709648640472678,0.06937639922186543,7.199695849279577e-05
72,0.06644633690579028,0.06837697574703754,7.128896457825365e-05
73,0.06636844971511938,0.06864416290404676,7.057571793025547e-05
74,0.0670844137291365,0.06775095716967613,6.985739453173906e-05
75,0.066798258997217,0.06790191012941584,6.913417161825453e-05
76,0.06579227448452878,0.0683456784515064,6.840622763423394e-05
77,0.06578326366747482,0.06865733739318727,6.767374218896289e-05
78,0.06535003150377093,0.06836472944462602,6.693689601226461e-05
79,0.06713538018019893,0.06855664635666564,6.61958709099075e-05
80,0.0674634005261373,0.06772752997430065,6.54508497187474e-05
81,0.065379757292663,0.06836528276812427,6.470201626161523e-05
82,0.06532740380756463,0.06811767639710178,6.39495553019615e-05
